SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
5, -0.0000, 0, 0.97479010, 0.24177451, 0.14495282, -3.14951611, 4.37641191, -5.52364159, -21.07570839, 72.66880798, -85.23823547, 0.30338159, 1.05070782, -5.21993256, 0.99891609, -0.00306217, -0.00903893, 0.04555891, 0.00144772, 0.00781883, 0.01468941, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0001, 0, 0.99526072, 0.12077876, 0.00873341, 3.74974060, -2.57173896, 4.00962734, -20.14031029, 76.90733337, -67.58258057, -0.34431326, -1.44455016, 2.92595983, 0.99959105, 0.00268164, 0.01267828, -0.02549103, 0.00602945, -0.00222799, 0.00241364, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0101, 1, 0.99328899, 0.11026792, 0.00311790, 3.95219326, -2.74903393, 4.56425905, -20.16954041, 76.73194885, -67.72873688, -0.31259292, -1.39904559, 2.88876700, 0.99960494, 0.00241908, 0.01227350, -0.02517131, -0.00351853, 0.00281776, -0.00051163, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0201, 2, 0.99257141, 0.09963319, -0.00643298, 3.30095434, -2.63036752, 4.73673439, -20.11107826, 76.90733337, -67.75796509, -0.28283653, -1.35177481, 2.85796762, 0.99961722, 0.00217310, 0.01185403, -0.02490696, -0.01325578, 0.01180982, -0.00220007, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0301, 3, 1.00585282, 0.09532162, -0.00796936, 2.10051537, -2.61556172, 4.76593542, -20.08184814, 77.11195374, -67.75796509, -0.25458771, -1.30413437, 2.83913994, 0.99962658, 0.00193893, 0.01143198, -0.02474669, -0.01790876, 0.01283376, 0.01062129, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0000, 0, 0.13429116, -1.00087392, 0.07943718, -0.58249795, 0.85646176, 2.05977631, -43.61297989, 1.11078632, -102.04618073, 0.08304285, 1.63529372, 13.62828159, 0.99283612, 0.00097364, -0.01425531, -0.11862661, 0.00963775, 0.00001755, 0.01319478, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0100, 1, 0.97530895, 0.25105089, 0.15102719, -4.89073610, 4.12974310, -6.03313828, -20.57877731, 72.90265656, -84.91668701, 0.28889838, 0.97736913, -5.17383862, 0.99894047, -0.00290341, -0.00840654, 0.04515460, 0.01063462, 0.00815825, 0.01841996, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0200, 2, 0.97332954, 0.24757484, 0.15801144, -4.68044996, 4.34508324, -6.22346926, -21.48494530, 72.93189240, -85.17977142, 0.27423772, 0.90128273, -5.12997770, 0.99896353, -0.00274268, -0.00775009, 0.04476982, 0.01083664, 0.00066954, 0.01679088, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0300, 3, 0.96105343, 0.24538831, 0.16250382, -3.63375688, 4.53097153, -6.33751965, -21.48494530, 72.93189240, -85.17977142, 0.26156068, 0.82326847, -5.09637070, 0.99898219, -0.00259964, -0.00707571, 0.04447468, 0.01372850, -0.00403575, 0.00523094, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.12371780, -0.99478620, 0.07953411, -0.68502027, 0.31629798, 2.40397954, -43.67144012, 1.02309263, -102.36772919, 0.07644361, 1.61107492, 13.63030148, 0.99283701, 0.00100599, -0.01403863, -0.11864544, 0.01904958, 0.00070817, 0.00595638, 0.00000000, 0.00000000, 0.00000000, 0.00000000
