SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, 0.0000, 0, 0.08662145, -0.99327290, -0.01859366, -0.09761718, 0.86360776, -0.20396407, -49.13768005, -16.48640823, -86.31978607, -1.15290725, 2.14593935, 12.94670010, 0.99337864, 0.01210600, -0.01747135, -0.11290275, -0.00664414, 0.00099726, -0.00303858, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0100, 1, 0.08839251, -0.99137044, -0.01966194, -0.13385653, 0.57015485, -0.17207621, -51.06694031, -16.86641312, -87.45980835, -1.15378165, 2.14777327, 12.95241928, 0.99337262, 0.01211625, -0.01748578, -0.11295259, -0.00845890, -0.00005941, -0.00486259, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0200, 2, 0.09260610, -0.99337757, -0.01782929, 0.00968095, 0.11467364, 0.10065021, -50.77462769, -17.01256943, -86.72902679, -1.15358949, 2.14678907, 12.95358753, 0.99337173, 0.01211380, -0.01747732, -0.11296262, -0.01258677, 0.00177008, -0.00267644, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0000, 0, 0.06961966, -1.00972188, 0.01792230, 0.50199485, -0.15026334, 0.32150340, -42.20988083, 2.77696586, -110.14323425, -3.13023376, -5.04059839, 6.54893064, 0.99709815, 0.02473129, 0.04544374, -0.05584345, 0.00371513, -0.00112238, 0.01195072, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, -0.0000, 0, -0.07934046, -0.99493742, -0.06228347, 0.01374327, -0.67741048, 0.08013745, -28.12043190, 18.24028015, -100.73078156, -0.13091977, -0.18212222, -0.34533581, 0.99999362, 0.00114727, 0.00158586, 0.00301543, 0.00674497, 0.00010934, -0.00000653, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0100, 1, -0.07997679, -0.99437320, -0.06161703, 0.04902679, -0.66002065, 0.08056713, -28.12043190, 18.24028015, -101.31540680, -0.12996009, -0.18334284, -0.35182136, 0.99999338, 0.00113902, 0.00159648, 0.00307202, 0.00740415, 0.00072613, -0.00056433, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0200, 2, -0.07775262, -0.99548471, -0.06189299, -0.33791959, -0.71354622, 0.18220894, -28.29582024, 18.12335587, -101.31540680, -0.13282369, -0.18560749, -0.35904396, 0.99999315, 0.00116417, 0.00161609, 0.00313511, 0.00507144, 0.00054098, 0.00040492, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.06390746, -1.00837028, 0.02103693, -0.19672860, -0.08885743, 0.25986493, -42.35603714, 2.89389062, -110.37708282, -3.13228297, -5.04316378, 6.54831982, 0.99709713, 0.02474806, 0.04546692, -0.05583666, 0.00912772, 0.00206824, 0.00993904, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.06211526, -1.00507474, 0.01995347, -0.72944379, -0.44261116, 0.26821116, -42.18064880, 2.42619109, -109.99707794, -3.13519788, -5.14447069, 6.53951597, 0.99706292, 0.02472549, 0.04634781, -0.05573253, 0.00989121, 0.00130699, 0.00637765, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.06618728, -1.00334036, 0.01726887, -0.40582630, -0.61272639, 0.41519353, -42.18064880, 2.42619109, -109.99707794, -3.13974762, -5.14847183, 6.53401995, 0.99706310, 0.02476527, 0.04638364, -0.05568183, 0.00421853, -0.00120480, 0.00524699, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.06579241, -1.00260448, 0.01721679, -0.19368094, -0.45396969, 0.54050338, -42.41449738, 2.60157847, -110.17246246, -3.14205551, -5.15377569, 6.52973843, 0.99706274, 0.02478439, 0.04642998, -0.05564227, 0.00440433, -0.00115387, 0.00446625, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.06922640, -1.00184977, 0.01800154, -0.21295522, -0.33253318, 0.51051307, -42.00526047, 2.57234716, -109.88014984, -3.14447522, -5.15880060, 6.52669430, 0.99706173, 0.02480413, 0.04647421, -0.05561348, 0.00081562, -0.00027218, 0.00433569, 0.00000000, 0.00000000, 0.00000000, 0.00000000
