SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, -0.0000, 0, -0.00102488, -1.00008404, -0.03965646, 1.36024332, 4.70131111, -0.88448328, -52.87927628, -15.11254025, -85.82286072, -0.43989384, -1.34640419, -3.86275935, 0.99935400, 0.00423232, 0.01161319, 0.03374504, -0.00732636, -0.01636589, 0.00075575, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0100, 1, -0.00011439, -1.00236034, -0.03914966, 1.73326206, 3.71797395, -1.02243388, -53.34697342, -15.22946453, -85.93978119, -0.42285886, -1.33532727, -3.82608366, 0.99936652, 0.00407682, 0.01152291, 0.03342315, -0.00801452, -0.01609958, 0.00303101, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0000, 0, 0.05248259, -0.89219636, -0.36742708, -9.78749561, -3.95261312, 0.79888994, -28.64659500, 27.06810760, -111.10786438, 5.46614695, 0.15390033, 4.99084949, 0.99791718, -0.04757936, -0.00341633, -0.04342606, -0.04344455, -0.03175179, -0.03231134, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0000, 0, -0.05590161, -0.99586278, 0.07245728, -0.52678841, -4.06213522, 4.02748013, -51.53463745, 6.05086231, -100.35077667, 0.11331997, 7.57839870, 3.28868389, 0.99740452, 0.00091001, -0.06608686, -0.02856717, 0.00010055, 0.01259256, -0.00001474, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, -0.06596237, -1.00434637, 0.06477165, -0.27681714, -2.94780684, 4.82763720, -50.92078400, 6.19701815, -100.49693298, 0.11237826, 7.53201914, 3.25607347, 0.99743921, 0.00088790, -0.06568319, -0.02828502, 0.00738805, 0.00309723, 0.00959873, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, -0.07717799, -1.01436937, 0.05927178, 0.24594049, -1.98633647, 5.22224951, -51.73925781, 6.37240553, -100.64308929, 0.11618061, 7.48111391, 3.23372269, 0.99747372, 0.00082946, -0.06524118, -0.02808956, 0.01572878, -0.00301492, 0.02109620, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, -0.07906248, -1.01747537, 0.06164413, 0.84450734, -1.04074836, 4.90647173, -51.73925781, 6.37240553, -100.64308929, 0.12543727, 7.43277645, 3.22203851, 0.99750406, 0.00073036, -0.06482277, -0.02798381, 0.01611563, -0.00096656, 0.02452158, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, -0.07890944, -1.01369333, 0.06439641, 0.38921273, -0.15932493, 4.28496170, -50.54077530, 5.64162540, -101.02309418, 0.12960310, 7.39010525, 3.21858549, 0.99752903, 0.00068168, -0.06445235, -0.02795250, 0.01585869, 0.00189191, 0.02084272, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, -0.07483523, -1.00192726, 0.06094436, 0.25755197, 0.88278008, 3.06145763, -52.03157043, 5.14469433, -99.91230774, 0.10900658, 7.21104383, 3.22305417, 0.99762720, 0.00081954, -0.06288847, -0.02800726, 0.01284056, -0.00079763, 0.00817852, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, -0.07395082, -0.98812431, 0.06181082, -0.15202318, 1.29617941, 1.73047912, -51.59310150, 5.90470600, -100.32154083, 0.10673233, 7.19297695, 3.23452806, 0.99763429, 0.00084119, -0.06273055, -0.02810883, 0.01222579, 0.00117470, -0.00576835, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, -0.06981699, -0.98489684, 0.06669607, -0.55240273, 0.75353211, 0.91786325, -52.03157043, 5.46623802, -100.43846893, 0.10072387, 7.18335581, 3.24037313, 0.99763805, 0.00089432, -0.06264528, -0.02816322, 0.00850512, 0.00634130, -0.00945020, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, -0.06346741, -0.99621183, 0.07993478, 0.16976802, -0.88833958, 0.36773127, -52.03157043, 5.46623802, -100.43846893, 0.10300994, 7.18022871, 3.23169327, 0.99764192, 0.00086891, -0.06261867, -0.02808648, -0.00009008, 0.01890824, 0.00121343, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0100, 1, 0.07161599, -0.89248151, -0.37708607, -7.71090174, -4.53290272, 0.19178833, -28.96813774, 27.21426392, -110.40631104, 5.38868141, 0.13598658, 4.94963932, 0.99796456, -0.04691270, -0.00321410, -0.04307681, -0.06289727, -0.03879395, -0.02781278, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0200, 2, 0.07958721, -0.90582049, -0.39116031, -4.75700235, -4.03552771, -0.63838136, -29.02659988, 27.21426392, -110.78631592, 4.87333441, 0.91545302, 4.76768589, 0.99821347, -0.04214490, -0.00974293, -0.04121561, -0.06752103, -0.04247483, -0.00982764, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0300, 3, 0.07708726, -0.91474229, -0.39798602, -2.81279087, -3.36527467, -1.66206861, -29.02659988, 27.21426392, -110.78631592, 4.84436083, 0.91867334, 4.73047066, 0.99823731, -0.04189450, -0.00974695, -0.04089269, -0.05466346, -0.03795159, 0.00066946, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0400, 4, 0.05973896, -0.92328238, -0.40148443, -2.24856091, -3.24988699, -2.96145749, -29.17275620, 27.03887749, -110.05553436, 4.82094669, 0.93440402, 4.68955898, 0.99825954, -0.04168835, -0.00986074, -0.04053247, -0.03705912, -0.03690242, 0.00973229, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0200, 2, 0.00500477, -1.00409591, -0.03955952, 1.58924294, 3.18381119, -0.97474295, -53.69775009, -14.17714119, -86.14440155, -0.40721187, -1.32485855, -3.79471183, 0.99937725, 0.00393418, 0.01143725, 0.03314769, -0.01291203, -0.01675260, 0.00484371, 0.00000000, 0.00000000, 0.00000000, 0.00000000
