SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
3, -0.0001, 0, 1.22303808, -0.08666306, -0.16111609, 31.76715469, 0.14684063, 17.83913994, -20.08184814, 76.35194397, -64.45483398, -1.66127980, -4.08798170, 4.51509762, 0.99850357, 0.01307160, 0.03620606, -0.03884559, -0.22437283, 0.19886765, 0.21853684, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0099, 1, 1.09750819, -0.21103173, -0.10395622, 10.84376621, 6.85191488, 12.84898281, -20.08184814, 76.35194397, -65.01023102, -1.69963026, -3.95608544, 4.39902258, 0.99857759, 0.01348719, 0.03505614, -0.03784062, -0.34280655, 0.15560977, 0.08423693, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0199, 2, 0.99698198, -0.11542005, -0.03224304, -14.51823425, 11.04309845, 7.00022030, -19.73107338, 76.38117218, -65.01023102, -1.82066143, -3.87022257, 4.53465700, 0.99854255, 0.01453036, 0.03436513, -0.03899839, -0.24711564, 0.07545843, -0.01016777, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0299, 3, 0.99751180, -0.00339006, -0.01018004, -25.24090576, 14.40429020, 2.27011347, -19.67260933, 75.88424683, -64.16252136, -1.66993272, -2.81664968, 3.41005254, 0.99915993, 0.01383034, 0.02499739, -0.02938378, -0.13304240, 0.04264427, -0.00246836, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0399, 4, 1.00517309, 0.10127210, 0.02899728, -28.34183121, 14.84697914, 0.33209622, -19.90645981, 76.11809540, -63.92867661, -1.84949529, -2.78874850, 3.68235183, 0.99907035, 0.01534435, 0.02483667, -0.03172281, -0.02029121, -0.00882867, 0.01116326, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0001, 0, 0.20811976, -1.05757701, 0.04628377, -8.29887867, 6.03070021, 16.27590561, -52.93773651, -16.77871895, -82.84127045, 3.48791862, 0.47732660, 0.42314857, 0.99952185, -0.03041728, -0.00427587, -0.00356415, -0.11394303, -0.02604066, 0.07311937, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0101, 1, 0.20728429, -1.12314928, 0.01888910, -8.22483253, 7.05422306, 19.97493172, -53.93159866, -16.28178787, -83.54282379, 3.41178226, 0.27271825, 0.48573279, 0.99954534, -0.02975857, -0.00250502, -0.00416607, -0.11122914, -0.05277704, 0.13802400, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0499, 5, 0.99778968, 0.12486181, 0.08841264, -27.12196732, 15.87940598, -0.65490985, -18.97106171, 75.65039062, -64.39637756, -2.03883052, -2.76912546, 3.94188762, 0.99897325, 0.01694460, 0.02475641, -0.03394755, -0.00248250, -0.06723229, 0.00504393, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0201, 2, 0.22369017, -1.12086439, -0.01048202, -8.25816536, 7.13929749, 24.06604004, -53.93159866, -16.28178787, -83.54282379, 3.33509564, 0.02732190, 0.54663116, 0.99956512, -0.02909861, -0.00037714, -0.00476128, -0.13181388, -0.08079407, 0.13665038, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0599, 6, 1.01139390, 0.14477636, 0.13211703, -14.36233234, 15.34442711, -0.04506353, -19.76030350, 76.11809540, -64.60099030, -2.20722008, -2.74792600, 4.07419968, 0.99891180, 0.01839055, 0.02464272, -0.03506825, 0.01191971, -0.10973583, 0.01973881, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0699, 7, 1.00821197, 0.15870056, 0.16103554, -6.66707897, 14.83228683, 0.83623761, -19.76030350, 76.11809540, -64.60099030, -2.36061525, -2.72118235, 4.12975073, 0.99887455, 0.01972425, 0.02446609, -0.03552447, 0.02322310, -0.13725585, 0.01738090, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0799, 8, 1.01625252, 0.16819008, 0.16258556, -4.14729929, 13.65355778, 1.50878906, -19.43876076, 75.88424683, -63.78252029, -3.89377260, -3.03907967, 4.83146477, 0.99822140, 0.03281382, 0.02791045, -0.04121074, 0.03090881, -0.13124329, 0.02653128, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0899, 9, 1.02368176, 0.17575291, 0.16341215, -4.85204887, 11.33998013, 2.49654341, -19.99415398, 75.35807800, -63.54866791, -4.00885153, -2.99915195, 4.86974525, 0.99818283, 0.03382203, 0.02761535, -0.04152871, 0.03388191, -0.11253729, 0.03578940, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0999, 10, 1.02193809, 0.17439207, 0.14816898, -5.22295618, 9.25292969, 3.40236592, -20.02338409, 74.45191193, -64.22098541, -4.10270834, -2.95206738, 4.91265345, 0.99814922, 0.03464721, 0.02725223, -0.04189497, 0.03509098, -0.09547109, 0.03415433, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0000, 0, 1.07366419, 0.00479522, 0.02737128, -7.07820511, -5.22254992, -1.03117466, -20.25723457, 71.87957001, -86.23209381, 4.40618896, 6.55571890, -3.68969584, 0.99703825, -0.04019837, -0.05587081, 0.03431357, -0.20351551, -0.09857634, 0.03517978, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0100, 1, 0.99908262, 0.06224485, 0.05633364, -14.65593624, -8.16319084, -1.68832147, -20.34492874, 72.02572632, -86.26132965, 4.45657206, 6.56336594, -3.52312589, 0.99706542, -0.04055740, -0.05598127, 0.03289130, -0.11907979, -0.10042287, -0.01568320, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0200, 2, 0.93474340, 0.16135478, 0.03955562, -15.17019367, -6.74671650, -1.38512135, -20.40339088, 71.47032928, -86.14440155, 4.49204063, 6.56740570, -3.35628366, 0.99709767, -0.04078542, -0.05606568, 0.03145823, -0.02121601, -0.04279604, -0.05138679, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1099, 11, 1.02693939, 0.16612975, 0.14695472, -4.25450087, 6.99694204, 4.08612919, -20.02338409, 75.38731384, -63.89944458, -4.17232561, -2.90119720, 4.94709539, 0.99812597, 0.03526496, 0.02684521, -0.04219503, 0.02755407, -0.09196758, 0.03864673, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1199, 12, 1.03704619, 0.14379346, 0.14053681, -2.88387322, 5.02082682, 4.53262520, -20.37415886, 75.70885468, -63.63636398, -4.22025728, -2.84892035, 4.96906137, 0.99811363, 0.03569748, 0.02641440, -0.04239240, 0.00631724, -0.08218067, 0.04728407, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1299, 13, 1.02861631, 0.14398314, 0.15610394, 0.49964720, 2.87564754, 4.93415165, -20.37415886, 75.70885468, -63.63636398, -5.31172848, -2.96066070, 5.39000654, 0.99754429, 0.04505689, 0.02795547, -0.04575740, 0.00558061, -0.09248898, 0.03918947, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0300, 3, 0.93310338, 0.25177813, 0.10106515, -15.00247192, -5.64178801, -0.18667187, -20.40339088, 71.47032928, -86.14440155, 4.51295710, 6.57781458, -3.19528985, 0.99712807, -0.04089094, -0.05620802, 0.03007101, 0.08230014, -0.05919074, -0.01932381, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0400, 4, 0.96602476, 0.23988661, 0.12659900, -15.51485538, -2.83947611, 0.42995381, -20.46185303, 71.96726227, -86.29055786, 3.48613381, 5.81316137, -3.16823769, 0.99782723, -0.03176795, -0.04982499, 0.02913803, 0.06929098, -0.08300785, 0.01145699, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0500, 5, 0.97139400, 0.25077969, 0.14556757, -11.84895420, 1.24603844, -0.13274524, -20.54954720, 71.79187012, -85.85208893, 3.45033741, 5.79992104, -3.05892515, 0.99787039, -0.03140580, -0.04974877, 0.02816727, 0.07470972, -0.08173890, 0.02012416, 0.00000000, 0.00000000, 0.00000000, 0.00000000
